rpm,real_w,speed,target_current,real_pos,pos,I6,I7
-0.205615,0.086579,9.831110,0.013991,-0.008737,0.005343,0.000000,0.000000
-0.205680,0.086628,9.831224,-0.006249,-0.005541,0.033039,0.000000,0.000000
-0.205726,0.086760,9.831249,0.010795,-0.011933,0.015995,0.000000,0.000000
-0.205728,0.086953,9.831195,0.012925,0.004046,-0.001049,0.000000,0.000000
-0.205803,0.087098,9.831071,-0.007315,0.002981,-0.017028,0.000000,0.000000
-0.205858,0.087193,9.830932,0.003338,-0.001280,-0.033007,0.000000,0.000000
-0.205868,0.087291,9.831008,0.008664,0.001916,0.008538,0.000000,0.000000
-0.205778,0.087338,9.831207,0.002273,0.002981,-0.001049,0.000000,0.000000
-0.205691,0.087304,9.831415,-0.023294,0.012568,0.001081,0.000000,0.000000
-0.205616,0.087345,9.831632,0.012925,0.005111,-0.012767,0.000000,0.000000
-0.205414,0.087338,9.831831,0.021447,0.016829,0.019191,0.000000,0.000000
-0.205153,0.087405,9.832142,0.003338,-0.001280,0.001081,0.000000,0.000000
-0.205026,0.087426,9.832402,0.006534,-0.001280,0.007473,0.000000,0.000000
-0.204852,0.087422,9.832623,0.008664,-0.006607,0.007473,0.000000,0.000000
-0.204785,0.087503,9.832818,0.000142,-0.024716,-0.007441,0.000000,0.000000
-0.204709,0.087558,9.832914,0.029970,-0.002346,0.004277,0.000000,0.000000
-0.204526,0.087531,9.833001,0.009729,0.027482,0.008538,0.000000,0.000000
-0.204251,0.087549,9.833117,0.005468,0.009372,-0.015963,0.000000,0.000000
-0.204070,0.087637,9.833186,-0.001988,-0.004476,0.004277,0.000000,0.000000
-0.204016,0.087662,9.833189,-0.012641,0.001916,-0.004245,0.000000,0.000000
-0.203983,0.087669,9.833431,0.010795,0.007242,0.021321,0.000000,0.000000
-0.203921,0.087705,9.833566,0.003338,0.009372,-0.013832,0.000000,0.000000
-0.203810,0.087772,9.833671,-0.000923,0.009372,-0.007441,0.000000,0.000000
-0.203901,0.087874,9.833631,0.011860,0.017894,-0.013832,0.000000,0.000000
-0.204008,0.087855,9.833556,-0.011576,0.000850,-0.006375,0.000000,0.000000
-0.204025,0.087779,9.833528,0.002273,0.015764,0.005343,0.000000,0.000000
-0.204076,0.087680,9.833596,0.018252,0.010438,-0.004245,0.000000,0.000000
-0.204049,0.087554,9.833652,0.006534,0.002981,0.001081,0.000000,0.000000
-0.204005,0.087413,9.833626,-0.000923,0.002981,0.003212,0.000000,0.000000
-0.204144,0.087325,9.833669,0.021447,0.029612,-0.001049,0.000000,0.000000
-0.204330,0.087256,9.833746,0.000142,-0.007672,-0.003180,0.000000,0.000000
