序号,时间戳,帧类型,帧格式,状态,数据长度, 数据(D0 - D7),ID,
73,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
74,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
75,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
76,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
77,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
78,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
79,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
80,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
81,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
82,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
83,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
84,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
85,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
86,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
87,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
88,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
89,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
90,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
91,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
92,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
93,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
94,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
95,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
96,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
97,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
98,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
99,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
100,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
101,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
102,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
103,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
104,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
105,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
106,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
107,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
108,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
109,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
110,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
111,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
112,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
113,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
114,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
115,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
116,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
117,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
118,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
119,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
120,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
121,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
122,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
123,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
124,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
125,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
126,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
127,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
128,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
129,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
130,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
131,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
132,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
133,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
134,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
135,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
136,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
137,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
138,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
139,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
140,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
141,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
142,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
143,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
144,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
145,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
146,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
147,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
148,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
149,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
150,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
151,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
152,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
153,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
154,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
155,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
156,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
157,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
158,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
159,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
160,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
161,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
162,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
163,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
164,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
165,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
166,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
167,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
168,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
169,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
170,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
171,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
172,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
173,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
174,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
175,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
176,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
177,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
178,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
179,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
180,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
181,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
182,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
183,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
184,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
185,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
186,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
187,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
188,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
189,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
190,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
191,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
192,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
193,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
194,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
195,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
196,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
197,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
198,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
199,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
200,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
201,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
202,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
203,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
204,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
205,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
206,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
207,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
208,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
209,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
210,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
211,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
212,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
213,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
214,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
215,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
216,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
217,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
218,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
219,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
220,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
221,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
222,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
223,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
224,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
225,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
226,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
227,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
228,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
229,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
230,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
231,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
232,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
233,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
234,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
235,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
236,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
237,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
238,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
239,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
240,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
241,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
242,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
243,16:57:54.8120566,标准帧,数据帧,接收,3,02 EE 6B,2,
244,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
245,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
246,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
247,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
248,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
249,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
250,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
251,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
252,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
253,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
254,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
255,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
256,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
257,16:57:54.8120566,标准帧,数据帧,接收,3,01 EE 6B,1,
258,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
259,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
260,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
261,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
262,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
263,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
264,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
265,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
266,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
267,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
268,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
269,16:57:54.8120566,标准帧,数据帧,接收,3,02 02 6B,2,
270,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,1,
271,16:57:54.8120566,标准帧,数据帧,接收,3,01 02 6B,1,
272,16:57:54.8120566,标准帧,数据帧,接收,8,FD 10 40 20 00 00 00 6B,2,
